순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분,OTT,Netflix
494.0,드라이브 인 타이페이,조지 황,,,(주)영화특별시에스엠씨,2025-04-11,개봉영화,장편,프랑스,475,"157,433,800","17,763","55,202,800","6,102",액션,15세이상관람가,일반영화,Watcha,False
495.0,프랑켄슈타인,기예르모 델 토로,,,씨제이 씨지브이(CJ CGV)(주),2025-10-22,개봉영화,장편,멕시코,115,"167,283,310","17,456","94,392,340","9,603",SF,청소년관람불가,일반영화,"Netflix, Netflix Standard with Ads",True
496.0,더 크로우,루퍼트 샌더스,,판씨네마(주),판씨네마(주),2024-12-11,개봉영화,장편,프랑스,200,"140,970,300","17,088","63,934,000","7,743",액션,청소년관람불가,일반영화,"Watcha, TVING",False
497.0,영원,데이빗 프레인,,"메가박스중앙(주) 플러스엠 엔터테인먼트,워터홀컴퍼니(주)",워터홀컴퍼니(주),2026-02-04,개봉영화,장편,미국,124,"156,489,400","16,942","83,578,810","8,541",멜로/로맨스,12세이상관람가,일반영화,"Apple TV, TVING",False
501.0,목스박,고훈,스튜디오설,,(주)라온컴퍼니플러스,2024-03-20,개봉영화,장편,한국,122,"147,129,705","16,776","48,049,524","5,257",액션,15세이상관람가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads",True
504.0,4월이 되면 그녀는,,,(주)엔케이컨텐츠,(주)디스테이션,2024-11-13,개봉영화,장편,일본,131,"111,925,000","16,283","50,338,100","7,371",멜로/로맨스,12세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
506.0,일주일간 친구,임효겸,,오드,"주식회사 올랄라스토리,오드",2023-09-06,개봉영화,장편,중국,142,"167,503,800","15,718","114,379,500","9,711",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
507.0,히어,로버트 저메키스,,㈜스튜디오오르카,"메가박스중앙(주),(주)이놀미디어",2025-02-19,개봉영화,장편,미국,144,"128,794,160","15,544","60,490,260","6,870",드라마,12세이상관람가,일반영화,Disney Plus,False
509.0,빅샤크5: 80일간의 해저일주,,,(주)히스토리필름,(주)팝엔터테인먼트,2024-07-11,개봉영화,장편,중국,172,"111,197,300","15,296","19,833,800","2,726",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
510.0,캔터빌의 유령,,,주식회사 컨텐츠썬,와이드 릴리즈(주),2025-02-26,개봉영화,장편,미국,144,"125,576,500","15,270","29,049,200","3,532",애니메이션,전체관람가,일반영화,"Watcha, TVING",False
516.0,"기억해, 우리가 사랑한 시간",,,(주)도키엔터테인먼트,"(주)도키엔터테인먼트,(주)키다리스튜디오",2023-10-11,개봉영화,장편,중국,178,"134,122,400","14,601","51,244,750","5,551",멜로/로맨스,전체관람가,일반영화,wavve,False
517.0,커미션,신재민,(주)팬엔터테인먼트,,"(주)팬엔터테인먼트,(주)미디어캐슬",2025-07-16,개봉영화,장편,한국,127,"98,200,360","14,415","38,542,660","5,065",미스터리,15세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
518.0,더 킬러,데이빗 핀처,,,씨제이 씨지브이(CJ CGV)(주),2023-10-25,개봉영화,장편,미국,78,"118,471,100","14,036","63,493,500","7,327",스릴러,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
521.0,오글리스: 웰컴 투 냄새 마을,토비 젠켈,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2023-04-06,개봉영화,장편,독일,256,"114,511,970","13,747","13,195,800","1,441",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
522.0,조이 라이드,,,판씨네마(주),판씨네마(주),2023-08-30,개봉영화,장편,미국,225,"115,023,758","13,436","55,595,210","6,364",코미디,청소년관람불가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
523.0,엔시티 드림 미스터리 랩: 드림 이스케이프 인 시네마,"이예지,오윤동","씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2024-12-11,개봉영화,장편,한국,80,"334,050,500","13,363","155,053,000","6,203",공연,전체관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
525.0,유랑지구2,프란트 궈,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2023-05-10,개봉영화,장편,중국,138,"101,341,320","13,168","39,710,983","4,954",SF,12세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads",True
527.0,열혈검사,견자단,,(주)엔케이컨텐츠,(주)디스테이션,2025-04-16,개봉영화,장편,중국,107,"89,337,200","13,041","32,463,500","4,936",액션,15세이상관람가,일반영화,"Watcha, TVING",False
529.0,헌티드 맨션,저스틴 시미엔,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-07-26,개봉영화,장편,미국,187,"119,461,383","12,877","53,714,043","5,772",공포(호러),12세이상관람가,일반영화,Disney Plus,False
530.0,극장판 오버로드 성왕국편,이토 나오유키,,(주)애니플러스,(주)애니플러스,2024-11-14,개봉영화,장편,일본,85,"127,102,220","12,788","41,652,500","3,978",애니메이션,15세이상관람가,일반영화,"Watcha, TVING",False
537.0,우리 사랑이 향기로 남을 때,임성용,"(주)도깨비미디어,주식회사 콘텐츠존",,"주식회사 콘텐츠존,(주)다자인소프트",2023-02-08,개봉영화,장편,한국,173,"115,424,800","12,364","40,588,500","4,521",멜로/로맨스,15세이상관람가,일반영화,"wavve, Watcha, TVING",False
538.0,은혼 금혼편 온 씨어터,후지타 요이치,,에스엠지홀딩스 주식회사,"에스엠지홀딩스 주식회사,씨제이 씨지브이(CJ CGV)(주)",2025-03-19,개봉영화,장편,일본,99,"123,812,000","12,354","54,884,200","5,384",애니메이션,15세이상관람가,일반영화,TVING,False
539.0,라이드 온,래리 양,,(주)콘텐츠판다,"(주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다",2023-05-31,개봉영화,장편,중국,100,"101,034,008","12,117","54,003,026","6,533",액션,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
540.0,아기 티라노 디보: 초식이지만 괜찮아!,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2026-02-25,개봉영화,장편,중국,150,"91,638,500","12,084","22,195,500","3,130",애니메이션,전체관람가,일반영화,TVING,False
542.0,치치치 치킨의 비밀,"나이젤 W.티어니,동롱",,"(주)팝엔터테인먼트,초코필름",(주)팝엔터테인먼트,2023-08-24,개봉영화,장편,중국,156,"102,686,450","12,034","21,000,500","2,504",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
544.0,부기맨,롭 새비지,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-06,개봉영화,장편,미국,193,"126,795,164","11,865","38,095,363","3,503",공포(호러),15세이상관람가,일반영화,Disney Plus,False
545.0,나의 행복한 결혼,츠카하라 아유코,,(주)엔케이컨텐츠,(주)디스테이션,2023-10-11,개봉영화,장편,일본,109,"87,057,248","11,795","39,953,192","5,323",판타지,12세이상관람가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING",True
547.0,분노의 강,윤철형,뉴크마그(주),,(주)이놀미디어,2024-05-29,개봉영화,장편,한국,88,"100,458,917","11,766","61,030,200","7,000",드라마,12세이상관람가,일반영화,"wavve, TVING",False
550.0,꼬마돼지 베이브의 바다 대모험,종위,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2023-03-23,개봉영화,장편,중국,319,"97,864,844","11,540","15,765,793","1,813",애니메이션,전체관람가,일반영화,"wavve, Watcha",False
551.0,캐시 아웃,,,주식회사 제이씨엔터웍스,주식회사 제이씨엔터웍스,2024-09-12,개봉영화,장편,미국,185,"95,980,200","11,252","40,097,800","4,708",액션,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
554.0,카드캡터 체리 극장판,아사카 모리오,,미라지엔터테인먼트,(주)삼백상회,2026-05-28,개봉영화,장편,일본,162,"118,139,290","11,050","37,992,960","3,365",애니메이션,전체관람가,일반영화,"wavve, Watcha",False
555.0,언젠틀 오퍼레이션,가이 리치,,"(주)더쿱디스트리뷰션,(주)무비다이브",메가박스중앙(주),2025-03-19,개봉영화,장편,영국,134,"84,590,080","11,043","33,261,420","4,155",액션,15세이상관람가,일반영화,Disney Plus,False
556.0,어게인 1997,신승훈,(주)로그라인스튜디오,,(주)메리크리스마스,2024-04-10,개봉영화,장편,한국,305,"98,537,648","10,926","37,520,099","3,958",판타지,15세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
557.0,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,,,(주)애니플러스,(주)애니플러스,2025-02-06,개봉영화,장편,일본,110,"104,477,320","10,914","53,594,200","5,386",애니메이션,전체관람가,일반영화,"Watcha, TVING",False
558.0,걸즈 앤 판처 최종장 제4화,미즈시마 츠토무,,(주)엔케이컨텐츠,(주)디스테이션,2024-01-17,개봉영화,장편,일본,40,"126,905,500","10,753","74,759,000","6,263",애니메이션,12세이상관람가,일반영화,"wavve, Watcha, TVING",False
561.0,은혼 가시아귀편 온 씨어터,후지타 요이치,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,2025-01-24,개봉영화,장편,일본,1,"113,902,000","10,640","76,385,400","6,927",애니메이션,15세이상관람가,일반영화,TVING,False
