순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분,OTT,Netflix
13.0,F1 더 무비,조셉 코신스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-06-25,개봉영화,장편,미국,"1,665","54,928,849,030","5,213,527","18,564,835,270","1,672,150",드라마,12세이상관람가,일반영화,"Apple TV, TVING",False
14.0,밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2023-07-26,개봉영화,장편,한국,"1,932","49,685,009,003","5,143,219","10,715,377,316","1,082,269",액션,15세이상관람가,일반영화,"Netflix, Disney Plus, Netflix Standard with Ads",True
15.0,하얼빈,우민호,(주)하이브미디어코프,,(주)씨제이이엔엠,2024-12-24,개봉영화,장편,한국,"2,125","46,978,947,380","4,914,963","11,600,537,920","1,163,075",드라마,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
16.0,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2023-01-04,개봉영화,장편,일본,"1,023","51,249,971,605","4,897,590","17,392,458,420","1,613,819",애니메이션,12세이상관람가,일반영화,"Netflix, Disney Plus, wavve, Watcha, Netflix Standard with Ads, TVING",True
17.0,파일럿,김한결,"쇼트케이크(주),(주)무비락",,롯데컬처웍스(주)롯데엔터테인먼트,2024-07-31,개봉영화,장편,한국,"1,956","43,204,079,201","4,718,036","9,238,563,114","980,597",코미디,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads",True
18.0,노량: 죽음의 바다,김한민,(주)빅스톤픽쳐스,,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023-12-20,개봉영화,장편,한국,"2,196","45,008,260,375","4,573,398","9,861,139,267","970,454",사극,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads",True
19.0,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-05-03,개봉영화,장편,미국,"1,819","44,355,754,061","4,208,993","13,547,092,538","1,235,431",액션,12세이상관람가,일반영화,Disney Plus,False
21.0,소방관,곽경택,"주식회사 에스크로드,(주)아센디오",,(주)바이포엠스튜디오,2024-12-04,개봉영화,장편,한국,"1,414","36,248,498,170","3,851,772","6,523,082,380","671,851",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
22.0,콘크리트 유토피아,엄태화,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09,개봉영화,장편,한국,"1,731","37,388,022,232","3,847,066","8,918,633,541","894,336",드라마,15세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
23.0,모아나 2,데이브 데릭 주니어,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-11-27,개봉영화,장편,미국,"1,985","32,794,295,730","3,550,048","6,977,472,390","722,395",애니메이션,전체관람가,일반영화,Disney Plus,False
25.0,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,"2,809","47,350,863,697","3,491,916","13,294,368,157","909,353",액션,12세이상관람가,일반영화,Disney Plus,False
28.0,야당,황병국,(주)하이브미디어코프,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-04-16,개봉영화,장편,한국,"1,850","31,999,779,430","3,377,887","7,493,553,140","766,827",범죄,청소년관람불가,일반영화,"Netflix, Netflix Standard with Ads",True
32.0,어쩔수가없다,박찬욱,"모호필름,씨제이이엔엠 스튜디오스 주식회사",,(주)씨제이이엔엠,2025-09-24,개봉영화,장편,한국,"2,114","28,768,679,430","2,942,758","8,824,380,030","855,486",스릴러,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
36.0,히트맨2,최원섭,"베리굿스튜디오(주),스튜디오타겟(주),슈퍼파워스튜디오 주식회사",,(주)바이포엠스튜디오,2025-01-22,개봉영화,장편,한국,"1,507","23,983,159,200","2,547,448","4,330,729,960","447,289",코미디,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
37.0,탈주,이종필,더램프스튜디오(주),,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-07-03,개봉영화,장편,한국,"1,234","24,102,444,596","2,547,035","5,683,783,805","575,613",액션,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
38.0,보스,라희찬,(주)하이브미디어코프,,"(주)하이브미디어코프,(주)마인드마크",2025-10-03,개봉영화,장편,한국,"1,296","23,347,951,550","2,432,734","4,286,904,830","431,632",코미디,15세이상관람가,일반영화,Disney Plus,False
40.0,위키드,존 추,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-11-20,개봉영화,장편,미국,"1,803","22,168,795,550","2,244,536","9,129,526,680","887,543",판타지,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
42.0,30일,남대중,(주)영화사울림,,(주)마인드마크,2023-10-03,개봉영화,장편,한국,"1,226","21,079,830,749","2,146,902","4,954,795,858","495,022",코미디,12세이상관람가,일반영화,TVING,False
43.0,승부,김형주,(주)영화사 월광,,(주)바이포엠스튜디오,2025-03-26,개봉영화,장편,한국,"1,773","20,042,357,660","2,146,284","5,433,771,180","560,398",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
45.0,에이리언: 로물루스,페데 알바레즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-08-14,개봉영화,장편,미국,"1,436","20,443,955,430","2,002,033","5,989,730,813","561,343",공포(호러),15세이상관람가,일반영화,Disney Plus,False
46.0,휴민트,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2026-02-11,개봉영화,장편,한국,"1,520","19,983,573,360","1,980,978","5,243,342,790","490,850",액션,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
47.0,데드풀과 울버린,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-07-24,개봉영화,장편,미국,"1,948","20,489,875,630","1,977,010","6,668,511,690","612,284",액션,청소년관람불가,일반영화,Disney Plus,False
48.0,존 윅 4,채드 스타헬스키,,(주)제이앤씨미디어그룹,(주)레드아이스 엔터테인먼트,2023-04-12,개봉영화,장편,미국,"1,532","19,935,436,129","1,923,520","6,084,990,966","572,209",액션,청소년관람불가,일반영화,"Netflix, Watcha, Netflix Standard with Ads",True
49.0,천박사 퇴마 연구소: 설경의 비밀,김성식,(주)외유내강,,(주)씨제이이엔엠,2023-09-27,개봉영화,장편,한국,"1,511","18,635,492,555","1,916,429","4,206,158,370","426,353",판타지,12세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
50.0,하이파이브,강형철,(주)안나푸르나필름,,(주)넥스트엔터테인먼트월드(NEW),2025-05-30,개봉영화,장편,한국,"1,343","17,545,718,020","1,893,622","3,829,560,060","397,589",코미디,15세이상관람가,일반영화,Disney Plus,False
52.0,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-12-21,개봉영화,장편,한국,"1,314","17,759,190,427","1,786,092","3,880,628,011","384,915",드라마,12세이상관람가,일반영화,"Watcha, TVING",False
53.0,핸섬가이즈,남동협,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2024-06-26,개봉영화,장편,한국,965,"16,579,544,601","1,774,398","3,634,776,613","379,367",코미디,15세이상관람가,일반영화,Disney Plus,False
54.0,하이재킹,김성한,"(주)퍼펙트스톰필름,채널플러스 주식회사",,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리스튜디오",2024-06-21,개봉영화,장편,한국,"1,155","16,840,813,086","1,773,716","4,040,391,554","410,242",범죄,12세이상관람가,일반영화,Disney Plus,False
57.0,베놈: 라스트 댄스,켈리 마르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024-10-23,개봉영화,장편,미국,"1,663","17,256,631,588","1,764,011","4,403,943,170","425,952",액션,15세이상관람가,일반영화,wavve,False
58.0,교섭,임순례,"(주)영화사수박,원테이크필름",,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-01-18,개봉영화,장편,한국,"1,289","17,460,908,740","1,721,100","3,694,134,663","355,275",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
59.0,시민덕희,박영주,"(주)씨제스스튜디오,페이지원필름(주)",,(주)쇼박스,2024-01-24,개봉영화,장편,한국,"1,272","16,174,180,097","1,715,064","3,307,511,645","344,020",드라마,15세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
60.0,노이즈,김수진,(주)화인컷,,(주)바이포엠스튜디오,2025-06-25,개봉영화,장편,한국,878,"16,758,897,410","1,707,629","3,387,445,320","331,907",공포(호러),15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
62.0,캡틴 아메리카: 브레이브 뉴 월드,줄리어스 오나,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-02-12,개봉영화,장편,미국,"1,901","16,372,717,086","1,654,160","4,683,184,070","445,050",액션,12세이상관람가,일반영화,Disney Plus,False
66.0,슈퍼배드 4,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-07-24,개봉영화,장편,미국,"1,178","14,202,093,607","1,562,001","3,051,515,835","317,260",애니메이션,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
67.0,앤트맨과 와스프: 퀀텀매니아,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15,개봉영화,장편,미국,"2,090","16,346,738,806","1,551,129","4,870,924,016","434,458",액션,12세이상관람가,일반영화,Disney Plus,False
68.0,잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,개봉영화,장편,한국,"1,231","13,817,855,033","1,462,621","3,709,945,927","385,986",미스터리,15세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
70.0,외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2024-01-10,개봉영화,장편,한국,"1,390","13,792,326,337","1,430,121","3,321,420,005","330,032",기타,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
71.0,위시,"크리스 벅,폰 비라선손",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-01-03,개봉영화,장편,미국,"1,421","13,379,469,253","1,403,386","3,552,631,510","357,704",애니메이션,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
72.0,달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15,개봉영화,장편,한국,884,"13,445,519,901","1,388,309","2,731,589,483","276,799",코미디,12세이상관람가,일반영화,TVING,False
75.0,킹 오브 킹스,장성호,(주)모팩스튜디오,,(주)디스테이션,2025-07-16,개봉영화,장편,한국,"1,191","12,410,915,626","1,316,551","3,176,631,620","325,409",애니메이션,전체관람가,일반영화,"Disney Plus, Watcha, TVING",False
76.0,그녀가 죽었다,김세휘,주식회사 엔진필름,,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니",2024-05-15,개봉영화,장편,한국,"1,008","11,805,001,596","1,236,662","2,814,398,902","287,043",미스터리,15세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads",True
77.0,사랑의 하츄핑,김수훈,(주)에스에이엠지엔터테인먼트,,(주)쇼박스,2024-08-07,개봉영화,장편,한국,"1,159","10,983,756,542","1,228,442","1,709,617,367","182,907",애니메이션,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
78.0,드림,이병헌,"(주)옥토버시네마,(주)노브레이크필름",,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-04-26,개봉영화,장편,한국,"1,285","10,818,979,597","1,128,080","2,625,066,919","262,784",코미디,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
79.0,얼굴,연상호,주식회사 와우포인트,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-09-11,개봉영화,장편,한국,985,"11,012,986,870","1,076,611","2,881,599,140","269,791",미스터리,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
80.0,전지적 독자 시점,김병우,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2025-07-23,개봉영화,장편,한국,"1,581","10,053,493,360","1,061,137","2,628,889,920","265,029",판타지,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
81.0,1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-27,개봉영화,장편,한국,"1,282","9,464,438,798","1,026,929","2,362,398,413","248,627",드라마,12세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads",True
82.0,비공식작전,김성훈,"(주)와인드업필름,와이낫필름",,(주)쇼박스,2023-08-02,개봉영화,장편,한국,"1,151","9,781,885,404","1,015,453","2,104,228,583","211,335",드라마,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
84.0,댓글부대,안국진,(주)영화적순간,,(주)에이스메이커무비웍스,2024-03-27,개봉영화,장편,한국,"1,228","9,240,359,711","972,991","2,460,815,366","246,286",범죄,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
85.0,극장판 진격의 거인 완결편 더 라스트 어택,하야시 유이치로,,(주)애니플러스,(주)애니플러스,2025-03-13,개봉영화,장편,일본,424,"9,776,272,070","949,711","3,130,935,630","283,764",애니메이션,15세이상관람가,일반영화,"Watcha, TVING",False
86.0,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,,(주)씨제이이엔엠,(주)씨제이이엔엠,2023-12-22,개봉영화,장편,일본,883,"9,142,532,236","945,457","1,476,747,912","147,785",애니메이션,전체관람가,일반영화,TVING,False
87.0,썬더볼츠＊,제이크 슈레이어,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-04-30,개봉영화,장편,미국,"1,274","9,282,314,460","922,453","3,106,646,600","290,593",액션,12세이상관람가,일반영화,Disney Plus,False
89.0,글래디에이터 Ⅱ,리들리 스콧,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2024-11-13,개봉영화,장편,미국,"1,769","8,873,550,140","909,714","2,642,844,080","257,248",액션,청소년관람불가,일반영화,"Netflix, Netflix Standard with Ads",True
90.0,혹성탈출: 새로운 시대,웨스 볼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-05-08,개봉영화,장편,미국,"1,184","9,177,184,782","907,155","2,304,034,982","213,685",액션,12세이상관람가,일반영화,Disney Plus,False
92.0,대도시의 사랑법,이언희,"(주)쇼박스,주식회사 고래와 유기농",,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-10-01,개봉영화,장편,한국,869,"8,215,778,030","870,056","2,815,094,270","289,105",드라마,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
94.0,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",김혜영,블루파이어스튜디오 주식회사,,(주)바이포엠스튜디오,2025-12-24,개봉영화,장편,한국,868,"8,348,588,090","861,581","1,885,345,350","183,817",멜로/로맨스,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
95.0,인디아나 존스: 운명의 다이얼,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-28,개봉영화,장편,미국,"1,268","8,503,653,466","860,424","2,210,532,345","211,617",어드벤처,12세이상관람가,일반영화,Disney Plus,False
96.0,무파사: 라이온 킹,배리 젠킨스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-12-18,개봉영화,장편,미국,"1,243","8,362,423,310","852,334","2,434,719,030","229,719",애니메이션,전체관람가,일반영화,Disney Plus,False
98.0,말할 수 없는 비밀,서유민,(주)하이브미디어코프,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-01-27,개봉영화,장편,한국,864,"7,859,549,300","824,156","2,436,262,480","241,664",판타지,전체관람가,일반영화,Disney Plus,False
101.0,청설,조선호,(주)무비락,,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-11-06,개봉영화,장편,한국,"1,060","7,472,963,310","800,982","2,156,026,270","219,987",드라마,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
102.0,거룩한 밤: 데몬 헌터스,임대희,"주식회사 빅펀치픽쳐스,(주)노바필름",,롯데컬처웍스(주)롯데엔터테인먼트,2025-04-30,개봉영화,장편,한국,"1,097","7,205,989,400","777,649","1,428,075,700","148,687",액션,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
103.0,신명,김남균,(주)열공영화제작소,,"(주)열공영화제작소,(주)스마일이엔티,주식회사 블루필름웍스",2025-06-02,개봉영화,장편,한국,771,"7,359,521,780","775,407","1,386,811,620","143,476",드라마,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
105.0,호퍼스,다니엘 총,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2026-03-04,개봉영화,장편,미국,"1,013","7,528,617,010","763,965","2,269,527,480","217,623",애니메이션,전체관람가,일반영화,Disney Plus,False
107.0,대외비,이원태,"(주)트윈필름,(주)비에이엔터테인먼트",,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-03-01,개봉영화,장편,한국,"1,157","7,433,002,721","752,559","1,608,997,022","160,400",범죄,15세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
108.0,극장판 하이큐!! 쓰레기장의 결전,미츠나카 스스무,,에스엠지홀딩스 주식회사,"(주)넥스트엔터테인먼트월드(NEW),씨제이 씨지브이(CJ CGV)(주)",2024-05-15,개봉영화,장편,일본,"1,212","7,635,268,967","744,645","2,322,278,543","217,437",애니메이션,전체관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
110.0,명탐정 코난: 척안의 잔상,시게하라 카츠야,,(주)씨제이이엔엠,(주)씨제이이엔엠,2025-07-16,개봉영화,장편,일본,901,"7,276,851,240","739,385","1,934,851,630","187,059",애니메이션,12세이상관람가,일반영화,TVING,False
113.0,행복의 나라,추창민,"(주)파파스필름,오스카10스튜디오",,(주)넥스트엔터테인먼트월드(NEW),2024-08-14,개봉영화,장편,한국,"1,096","6,561,260,142","710,327","1,551,238,962","164,182",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
114.0,더 마블스,니아 다코스타,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-11-08,개봉영화,장편,미국,"1,532","6,841,156,465","690,814","1,932,480,968","181,909",액션,12세이상관람가,일반영화,Disney Plus,False
115.0,탈출: 프로젝트 사일런스,김태곤,"씨제이이엔엠 스튜디오스 주식회사,블라드스튜디오",,(주)씨제이이엔엠,2024-07-12,개봉영화,장편,한국,"1,078","6,704,394,362","687,918","1,352,141,401","133,688",스릴러,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
116.0,리바운드,장항준,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",,(주)바른손이앤에이,2023-04-05,개봉영화,장편,한국,"1,154","6,585,399,348","686,293","1,788,626,037","182,084",드라마,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
117.0,귀공자,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴",,(주)넥스트엔터테인먼트월드(NEW),2023-06-21,개봉영화,장편,한국,966,"6,703,071,465","682,742","1,626,471,729","162,939",액션,청소년관람불가,일반영화,"Netflix, Netflix Standard with Ads",True
118.0,와일드 로봇,크리스 샌더스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-10-01,개봉영화,장편,미국,"1,062","6,096,775,545","673,737","1,595,554,760","167,225",애니메이션,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
119.0,유령,이해영,더램프스튜디오(주),,(주)씨제이이엔엠,2023-01-18,개봉영화,장편,한국,"1,099","6,760,765,879","664,146","1,745,733,606","168,158",드라마,15세이상관람가,일반영화,"Watcha, TVING",False
120.0,보통의 가족,허진호,(주)하이브미디어코프,,"(주)하이브미디어코프,(주)마인드마크",2024-10-16,개봉영화,장편,한국,"1,277","6,043,915,570","649,895","1,722,237,470","179,337",드라마,15세이상관람가,일반영화,Disney Plus,False
121.0,인어공주,롭 마샬,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-05-24,개봉영화,장편,미국,"1,364","6,668,613,190","647,706","1,961,448,868","178,418",뮤지컬,전체관람가,일반영화,Disney Plus,False
123.0,원더랜드,김태용,"(주)영화사봄,(주)기린제작사",,(주)에이스메이커무비웍스,2024-06-05,개봉영화,장편,한국,"1,165","5,873,441,710","620,992","1,630,496,539","164,185",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
125.0,엘리오,"도미 시,매들린 샤라피안,아드리안 몰리나",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-06-18,개봉영화,장편,미국,"1,110","5,625,275,750","615,812","1,584,104,790","164,013",애니메이션,전체관람가,일반영화,Disney Plus,False
127.0,아마존 활명수,김창주,"(주)로드픽쳐스,(주)씨제이이엔엠",,(주)바른손이앤에이,2024-10-30,개봉영화,장편,한국,"1,479","5,390,831,280","606,612","1,178,671,940","128,077",코미디,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
128.0,판타스틱 4: 새로운 출발,맷 샤크먼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-07-24,개봉영화,장편,미국,"1,027","6,387,300,290","590,759","2,110,610,470","181,098",액션,12세이상관람가,일반영화,Disney Plus,False
130.0,콰이어트 플레이스: 첫째 날,마이클 사노스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2024-06-26,개봉영화,장편,미국,942,"5,381,760,525","552,619","1,591,925,526","155,608",스릴러,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
132.0,윗집 사람들,하정우,"(주)싸이더스,워크하우스컴퍼니(주)",,(주)바이포엠스튜디오,2025-12-03,개봉영화,장편,한국,762,"5,217,047,460","540,298","1,351,939,120","136,333",드라마,청소년관람불가,일반영화,"Netflix, Watcha, Netflix Standard with Ads",True
134.0,3일의 휴가,육상효,글뫼 주식회사,,(주)쇼박스,2023-12-06,개봉영화,장편,한국,863,"4,921,168,917","525,427","1,087,727,701","114,759",판타지,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
135.0,설계자,이요섭,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2024-05-29,개봉영화,장편,한국,"1,345","4,728,639,867","525,369","1,268,452,150","133,440",범죄,15세이상관람가,일반영화,Disney Plus,False
138.0,빅토리,박범수,(주)안나푸르나필름,,(주)마인드마크,2024-08-14,개봉영화,장편,한국,789,"4,544,420,767","508,220","1,274,704,857","139,446",드라마,12세이상관람가,일반영화,Disney Plus,False
140.0,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,하시모토 마사카즈,,(주)씨제이이엔엠,(주)씨제이이엔엠,2025-12-24,개봉영화,장편,일본,751,"4,642,672,160","488,704","833,673,220","83,041",애니메이션,전체관람가,일반영화,TVING,False
141.0,더 문,김용화,"씨제이이엔엠 스튜디오스 주식회사,블라드스튜디오",,(주)씨제이이엔엠,2023-08-02,개봉영화,장편,한국,"1,187","4,893,985,038","486,060","1,447,945,116","132,243",SF,12세이상관람가,일반영화,"Watcha, TVING",False
142.0,릴로 & 스티치,딘 플라이셔 캠프,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-05-21,개봉영화,장편,미국,"1,034","4,573,953,310","485,125","1,426,085,890","143,263",애니메이션,전체관람가,일반영화,Disney Plus,False
143.0,소년들,정지영,"(주)아우라픽처스,(주)씨제이이엔엠",,(주)씨제이이엔엠,2023-11-01,개봉영화,장편,한국,"1,042","4,303,729,586","452,858","863,053,636","88,316",드라마,15세이상관람가,일반영화,"Watcha, TVING",False
144.0,악마가 이사왔다,이상근,(주)외유내강,,(주)씨제이이엔엠,2025-08-13,개봉영화,장편,한국,974,"4,136,550,810","437,666","1,024,268,580","101,991",미스터리,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads",True
145.0,타겟,박희곤,주식회사 스튜디오피어나,,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-08-30,개봉영화,장편,한국,986,"4,003,424,694","424,916","887,077,277","92,021",스릴러,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
146.0,보고타: 마지막 기회의 땅,김성제,"(주)영화사수박,(주)이디오플랜",,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-12-31,개봉영화,장편,한국,"1,029","3,899,557,760","422,366","1,009,340,700","106,928",범죄,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
148.0,서치 2,"니콜라스 D 존슨,윌 메릭",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-02-22,개봉영화,장편,미국,868,"4,084,323,024","414,598","1,477,904,423","148,045",미스터리,12세이상관람가,일반영화,Bloodstream,False
152.0,싱글 인 서울,박범수,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",,롯데컬처웍스(주)롯데엔터테인먼트,2023-11-29,개봉영화,장편,한국,917,"3,748,567,012","400,651","1,359,848,882","139,476",멜로/로맨스,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
154.0,스위치,마대윤,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2023-01-04,개봉영화,장편,한국,912,"3,793,820,810","399,162","977,792,939","103,811",기타,12세이상관람가,일반영화,"Netflix, wavve, Netflix Standard with Ads, TVING",True
155.0,카운트,권혁재,(주)필름케이,,(주)씨제이이엔엠,2023-02-22,개봉영화,장편,한국,946,"3,772,828,091","397,303","821,482,315","86,921",드라마,12세이상관람가,일반영화,"wavve, TVING",False
156.0,뽀로로 극장판 바닷속 대모험,윤제완,(주)오콘,,씨제이 씨지브이(CJ CGV)(주),2025-01-01,개봉영화,장편,한국,791,"3,372,780,820","397,084","412,157,540","45,632",애니메이션,전체관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
157.0,뽀로로 극장판 슈퍼스타 대모험,"윤제완,김성민",(주)오콘,,씨제이 씨지브이(CJ CGV)(주),2023-12-13,개봉영화,장편,한국,850,"3,532,753,203","387,485","451,402,165","46,970",애니메이션,전체관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
