순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
48,존 윅 4,채드 스타헬스키,,(주)제이앤씨미디어그룹,(주)레드아이스 엔터테인먼트,2023-04-12,개봉영화,장편,미국,"1,532","19,935,436,129","1,923,520","6,084,990,966","572,209",액션,청소년관람불가,일반영화
49,천박사 퇴마 연구소: 설경의 비밀,김성식,(주)외유내강,,(주)씨제이이엔엠,2023-09-27,개봉영화,장편,한국,"1,511","18,635,492,555","1,916,429","4,206,158,370","426,353",판타지,12세이상관람가,일반영화
50,하이파이브,강형철,(주)안나푸르나필름,,(주)넥스트엔터테인먼트월드(NEW),2025-05-30,개봉영화,장편,한국,"1,343","17,545,718,020","1,893,622","3,829,560,060","397,589",코미디,15세이상관람가,일반영화
51,드래곤 길들이기,딘 데블로이스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-06-06,개봉영화,장편,미국,"1,650","17,921,757,490","1,789,326","5,663,362,030","526,123",액션,전체관람가,일반영화
52,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-12-21,개봉영화,장편,한국,"1,314","17,759,190,427","1,786,092","3,880,628,011","384,915",드라마,12세이상관람가,일반영화
53,핸섬가이즈,남동협,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2024-06-26,개봉영화,장편,한국,965,"16,579,544,601","1,774,398","3,634,776,613","379,367",코미디,15세이상관람가,일반영화
54,하이재킹,김성한,"(주)퍼펙트스톰필름,채널플러스 주식회사",,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리스튜디오",2024-06-21,개봉영화,장편,한국,"1,155","16,840,813,086","1,773,716","4,040,391,554","410,242",범죄,12세이상관람가,일반영화
55,분노의 질주: 라이드 오어 다이,루이스 리테리어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-05-17,개봉영화,장편,미국,"1,731","18,474,198,210","1,773,424","4,487,591,876","408,482",액션,15세이상관람가,일반영화
56,쿵푸팬더4,"마이크 미첼,스테파니 스티네",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-04-10,개봉영화,장편,미국,"2,311","16,522,806,152","1,770,394","3,901,280,844","398,667",애니메이션,전체관람가,일반영화
57,베놈: 라스트 댄스,켈리 마르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024-10-23,개봉영화,장편,미국,"1,663","17,256,631,588","1,764,011","4,403,943,170","425,952",액션,15세이상관람가,일반영화
58,교섭,임순례,"(주)영화사수박,원테이크필름",,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-01-18,개봉영화,장편,한국,"1,289","17,460,908,740","1,721,100","3,694,134,663","355,275",드라마,12세이상관람가,일반영화
59,시민덕희,박영주,"(주)씨제스스튜디오,페이지원필름(주)",,(주)쇼박스,2024-01-24,개봉영화,장편,한국,"1,272","16,174,180,097","1,715,064","3,307,511,645","344,020",드라마,15세이상관람가,일반영화
60,노이즈,김수진,(주)화인컷,,(주)바이포엠스튜디오,2025-06-25,개봉영화,장편,한국,878,"16,758,897,410","1,707,629","3,387,445,320","331,907",공포(호러),15세이상관람가,일반영화
61,검은 수녀들,권혁재,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2025-01-24,개봉영화,장편,한국,"1,662","16,134,349,980","1,670,559","4,092,567,400","405,045",미스터리,15세이상관람가,일반영화
62,캡틴 아메리카: 브레이브 뉴 월드,줄리어스 오나,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-02-12,개봉영화,장편,미국,"1,901","16,372,717,086","1,654,160","4,683,184,070","445,050",액션,12세이상관람가,일반영화
63,슈퍼 마리오 갤럭시,"아론 호바스,마이클 젤레닉",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2026-04-29,개봉영화,장편,미국,"1,847","15,597,092,100","1,606,328","3,682,600,610","349,303",애니메이션,전체관람가,일반영화
64,퓨리오사: 매드맥스 사가,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-05-22,개봉영화,장편,미국,"1,442","16,489,584,088","1,605,454","5,790,118,396","525,712",액션,15세이상관람가,일반영화
65,악마는 프라다를 입는다 2,데이빗 프랭클,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2026-04-29,개봉영화,장편,미국,"1,578","16,064,374,770","1,585,405","5,912,605,510","555,700",드라마,12세이상관람가,일반영화
66,슈퍼배드 4,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-07-24,개봉영화,장편,미국,"1,178","14,202,093,607","1,562,001","3,051,515,835","317,260",애니메이션,전체관람가,일반영화
