순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
651,빅트립2: 아기곰 배달 대작전,바실리 로벤스키,,(유)영화사 화수분,와이드 릴리즈(주),2023-05-27,개봉영화,장편,러시아,128,"49,824,450","5,657","13,332,150","1,457",애니메이션,전체관람가,일반영화
652,드림쏭3,안소니 벨,,주식회사 원더스튜디오,"주식회사 원더스튜디오,영화사빅",2024-03-28,개봉영화,장편,미국,238,"47,088,089","5,625","2,770,400",318,애니메이션,전체관람가,일반영화
653,스트레인저스: 챕터1,레니 할린,,판씨네마(주),판씨네마(주),2024-08-28,개봉영화,장편,미국,223,"50,497,778","5,555","15,024,378","1,623",공포(호러),15세이상관람가,일반영화
654,다큐 황은정 : 스마트폰이 뭐길래,"팽성우,정유경,김소정,인진수",파괴연구소,,롯데컬처웍스(주)롯시플,2024-07-03,개봉영화,장편,한국,22,"37,831,000","5,409","19,238,000","2,750",드라마,12세이상관람가,일반영화
655,(여자)아이들 월드투어 [아이돌] 인 시네마,오윤동,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,"씨제이포디플렉스 주식회사,씨지브이 아이스콘",2025-01-08,개봉영화,장편,한국,74,"132,350,000","5,294","86,175,000","3,447",공연,12세이상관람가,일반영화
656,호비와 마법의 카네이션,카와무라 토모히로,,주식회사 온 피크,"홀리가든,주식회사 온 피크",2024-09-25,개봉영화,장편,일본,98,"32,168,060","5,224","9,035,660","1,425",애니메이션,전체관람가,일반영화
657,르세라핌 브이알 콘서트 : 인비테이션,이미경,,,(주)어메이즈브이알코리아,2026-04-15,개봉영화,장편,한국,1,"162,208,500","5,217","154,486,500","4,959",드라마,전체관람가,일반영화
658,2017 방탄소년단 라이브 트릴로지 에피소드 3 윙스 투어 더 파이널 리마스터링,,,,메가박스중앙(주),2025-09-23,개봉영화,장편,한국,94,"125,943,620","5,209","74,325,220","3,070",공연,전체관람가,일반영화
659,2019 방탄소년단 월드 투어 '러브 유어셀프 : 스피크 유어셀프' 런던 리마스터링,,,,메가박스중앙(주),2025-09-23,개봉영화,장편,한국,1,"124,624,660","5,163","78,695,080","3,254",공연,전체관람가,일반영화
660,대니초 : 코리안 드림,,메타코미디,,"씨제이 씨지브이(CJ CGV)(주),씨지브이 아이스콘",2024-02-14,개봉영화,장편,한국,24,"76,675,500","5,139","43,096,500","2,900",공연,청소년관람불가,일반영화
661,레트리뷰션,님로드 안탈,,(주)퍼스트런,메가박스중앙(주),2024-01-24,개봉영화,장편,미국,202,"42,480,002","5,115","13,860,080","1,700",액션,15세이상관람가,일반영화
662,킹덤 3: 운명의 불꽃,사토 신스케,,(주)도키엔터테인먼트,"와이드 릴리즈(주),(주)플레이그램,(주)이놀미디어",2024-01-17,개봉영화,장편,일본,136,"36,139,270","4,994","14,601,400","2,034",액션,15세이상관람가,일반영화
663,김재중 20주년 기념 콘서트 : 플라워 가든,손석,,,씨지브이 아이스콘,2025-01-09,개봉영화,장편,한국,41,"123,853,700","4,975","101,467,200","4,077",공연,전체관람가,일반영화
664,미세스 그린 애플 // 더 화이트 라운지 인 시네마,,,,씨제이 씨지브이(CJ CGV)(주),2024-12-11,개봉영화,장편,일본,21,"109,888,000","4,965","62,174,000","2,796",공연,전체관람가,일반영화
665,"안전제일, 놀이퀴즈 최강전",이광범,(주)니즈텔레콤,,(주)니즈텔레콤,2024-04-11,개봉영화,장편,한국,2,"29,465,000","4,906","2,351,000",391,기타,전체관람가,일반영화
666,2016 방탄소년단 라이브 화양연화 온 스테이지 : 에필로그 리마스터링,,,,메가박스중앙(주),2025-09-23,개봉영화,장편,한국,95,"118,487,680","4,901","66,733,120","2,758",공연,12세이상관람가,일반영화
667,극장판 울려라! 유포니엄: 앙상블 콘테스트,이시하라 타츠야,,(주)초이락미디어,(주)스튜디오디에이치엘,2024-04-17,개봉영화,장편,일본,99,"44,271,951","4,843","24,132,960","2,553",애니메이션,전체관람가,일반영화
668,호랑님의 생일날,이광범,(주)니즈텔레콤,,(주)니즈텔레콤,2024-10-04,개봉영화,장편,한국,1,"29,149,000","4,824","3,682,000",611,기타,전체관람가,일반영화
669,마리앙투아네트,로버트 요한슨,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2023-01-02,개봉영화,장편,한국,8,"96,237,000","4,812","43,079,500","2,154",뮤지컬,12세이상관람가,일반영화
670,쿵쿵따 탐험대,이광범,(주)니즈텔레콤,,(주)니즈텔레콤,2024-06-26,개봉영화,장편,한국,2,"29,111,000","4,806","2,256,000",376,기타,전체관람가,일반영화
671,바운디 라이브 인 런던,,,리벳,메가박스중앙(주),2025-05-28,개봉영화,장편,일본,39,"119,651,220","4,796","61,089,560","2,448",공연,전체관람가,일반영화
672,블랙폰 2,스콧 데릭슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-10-29,개봉영화,장편,미국,409,"42,526,560","4,784","13,340,060","1,471",공포(호러),15세이상관람가,일반영화
673,물은 바다를 향해 흐른다,마에다 테츠,,(주)미디어캐슬,트윈플러스파트너스(주),2024-08-07,개봉영화,장편,일본,57,"41,449,500","4,761","18,423,300","2,040",드라마,12세이상관람가,일반영화
674,스파이에어 저스트 라이크 디스 2024,,,에스엠지홀딩스 주식회사,씨지브이 아이스콘,2025-07-18,개봉영화,장편,일본,23,"95,276,000","4,720","58,464,000","3,007",공연,전체관람가,일반영화
675,살수,곽정덕,"(주)디에이치미디어,(유)조이앤시네마",,"TCO(주)더콘텐츠온,와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023-02-22,개봉영화,장편,한국,188,"42,416,765","4,600","16,980,895","1,758",액션,15세이상관람가,일반영화
676,본즈 앤 올,루카 구아다니노,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-11-30,개봉영화,장편,미국,356,"50,846,199","4,592","43,730,199","3,958",공포(호러),청소년관람불가,일반영화
677,슈가: 로드 투 디데이,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,"94,042,500","4,563","49,562,500","2,395",다큐멘터리,12세이상관람가,일반영화
678,귀목: 피의 혼례,르 반 키엣,,롯데컬처웍스(주)롯데시네마,롯데컬처웍스(주)롯데시네마,2025-10-01,개봉영화,장편,베트남,34,"56,474,100","4,551","19,853,600","1,547",공포(호러),청소년관람불가,일반영화
679,아톰 새로운 시작,데이빗 보워스,,주식회사 블루필름웍스,주식회사 블루필름웍스,2024-01-31,개봉영화,장편,미국,144,"41,690,541","4,548","13,411,739","1,357",애니메이션,전체관람가,일반영화
680,그랑블루 오리지날 리마스터링,뤽 베송,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",2024-07-17,개봉영화,장편,프랑스,89,"42,966,100","4,487","17,005,700","1,749",드라마,15세이상관람가,일반영화
681,"아도 스페셜 라이브 ""신조우"" 인 시네마",,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2025-04-23,개봉영화,장편,일본,55,"102,005,000","4,435","40,365,000","1,755",공연,전체관람가,일반영화
682,악의 도시,현우성,,,(주)영화특별시에스엠씨,2025-06-20,개봉영화,장편,한국,119,"40,737,260","4,378","20,670,800","2,087",스릴러,15세이상관람가,일반영화
683,대탈출 : 더 스토리 특별판,,주식회사 티빙,,씨제이 씨지브이(CJ CGV)(주),2025-07-23,개봉영화,장편,한국,21,"43,352,000","4,353","26,544,000","2,659",어드벤처,15세이상관람가,일반영화
684,당신이 잠든 사이,장윤현,(주)로그라인스튜디오,,트윈플러스파트너스(주),2024-03-20,개봉영화,장편,한국,118,"36,999,414","4,253","14,630,789","1,592",미스터리,12세이상관람가,일반영화
685,원 오크 록 디톡스 투어 인 시네마,,,,씨제이포디플렉스 주식회사,2026-04-22,개봉영화,장편,한국,18,"105,525,000","4,221","73,775,000","2,951",공연,전체관람가,일반영화
686,까이마 : 저주의 무덤,,,(주)메이킹에이프린트,(주)메이킹에이프린트,2025-12-11,개봉영화,장편,베트남,50,"31,398,700","4,197","7,359,000","1,105",공포(호러),15세이상관람가,일반영화
687,위너 2022 콘서트 더 서클 더 무비,정치영,(주)와이지엔터테인먼트,,씨제이 씨지브이(CJ CGV)(주),2023-01-25,개봉영화,장편,한국,31,"91,370,200","4,166","65,301,200","2,981",공연,전체관람가,일반영화
688,제이홉 인 더 박스,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,"85,413,500","4,162","46,382,500","2,252",다큐멘터리,12세이상관람가,일반영화
689,볼빨간사춘기: 메리 고 라운드 더 무비,조윤수,(주)영화사 그램,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2024-07-12,개봉영화,장편,한국,48,"78,040,000","4,145","58,120,000","3,149",공연,전체관람가,일반영화
690,귀멸의 칼날: 도공 마을 이어진 인연편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-07-25,개봉영화,장편,일본,107,"43,523,500","4,083","11,447,400","1,094",애니메이션,15세이상관람가,일반영화
691,더 영 맨 앤드 더 딥 씨 (비투비 임현식),권진모,,,씨지브이 아이스콘,2024-12-04,개봉영화,장편,한국,16,"70,560,500","4,075","35,711,000","2,025",다큐멘터리,전체관람가,일반영화
692,귀를 기울이면,히라카와 유이치로,,(주)퍼스트런,(주)팝엔터테인먼트,2023-04-19,개봉영화,장편,일본,123,"32,292,500","4,050","14,325,300","1,825",멜로/로맨스,전체관람가,일반영화
693,엑소시스트: 더 데빌,호세 프렌데스,,(주)제이앤씨미디어그룹,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2024-09-25,개봉영화,장편,미국,161,"37,297,100","4,011","4,329,400",441,공포(호러),12세이상관람가,일반영화
694,북 클럽: 넥스트 챕터,빌 홀더먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-06-07,개봉영화,장편,미국,19,"26,091,300","3,995","14,160,800","1,840",기타,15세이상관람가,일반영화
695,마사이 크로스,이성관,파이오니아21,,(주)드림팩트엔터테인먼트,2025-11-20,개봉영화,장편,한국,9,"43,342,300","3,992","28,006,900","2,491",드라마,12세이상관람가,일반영화
696,왜(歪): 더 카르텔,,,,"(주)드림팩트엔터테인먼트,루디아코프",2026-03-25,개봉영화,장편,한국,69,"37,478,100","3,985","12,301,900","1,236",다큐멘터리,12세이상관람가,일반영화
697,콜드플레이 뮤직 오브 더 스피어스: 라이브 앳 리버 플레이트,,,,씨제이포디플렉스 주식회사,2023-04-19,개봉영화,장편,영국,74,"86,592,000","3,936","48,114,000","2,187",공연,전체관람가,일반영화
698,거신: 바람의 아이,신창섭,(주)그리메,,트윈플러스파트너스(주),2023-05-18,개봉영화,장편,한국,77,"31,850,077","3,904","16,356,595","2,077",애니메이션,전체관람가,일반영화
699,스페셜즈,우치다 에이지,,(주)바이포엠스튜디오,(주)바이포엠스튜디오,2026-03-13,개봉영화,장편,일본,49,"49,595,400","3,868","46,879,300","3,562",코미디,15세이상관람가,일반영화
700,뒤주,김지운,(주)그노스,,(주)파이브데이,2024-03-28,개봉영화,장편,한국,52,"22,985,011","3,855","11,062,016","1,841",공포(호러),15세이상관람가,일반영화
701,은혼 가부키쵸 사천왕편 온 씨어터,후지타 요이치,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,2025-10-24,개봉영화,장편,일본,61,"39,614,600","3,853","15,720,800","1,543",애니메이션,15세이상관람가,일반영화
702,헤어질 결심,박찬욱,모호필름,,(주)씨제이이엔엠,2022-06-29,개봉영화,장편,한국,"1,374","36,452,889","3,830","32,247,995","3,277",미스터리,15세이상관람가,일반영화
703,반지의 제왕: 로히림의 전쟁,카미야마 켄지,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-01-25,개봉영화,장편,미국,161,"36,892,600","3,829","14,361,800","1,453",애니메이션,12세이상관람가,일반영화
704,극장판 사사키와 미야노 - 졸업편,이시히라 신지,,(주)에스피오 엔터테인먼트코리아,(주)디스테이션,2023-09-06,개봉영화,장편,일본,65,"37,494,900","3,818","13,200,100","1,333",애니메이션,12세이상관람가,일반영화
705,울프맨,리 워넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-03-05,개봉영화,장편,미국,52,"28,421,760","3,809","11,105,780","1,507",공포(호러),15세이상관람가,일반영화
706,2024 박은빈 팬 콘서트 <은빈노트 : 디바>,,,,씨제이 씨지브이(CJ CGV)(주),2024-07-10,개봉영화,장편,한국,25,"83,662,500","3,803","59,728,500","2,715",공연,전체관람가,일반영화
707,언더 유어 베드,사부,(주)미스터리픽처스,,(주)트리플픽쳐스,2023-12-13,개봉영화,장편,한국,54,"31,532,878","3,774","13,753,528","1,595",스릴러,청소년관람불가,일반영화
708,도쿄 리벤저스2: 결전,하나부사 츠토무,,,(주)플레이그램,2025-10-10,개봉영화,장편,일본,48,"22,314,940","3,730","10,672,740","1,822",액션,15세이상관람가,일반영화
709,인디펜던스 나이트,에드워드 드레이크,,(주)엔케이컨텐츠,(주)디스테이션,2023-12-13,개봉영화,장편,미국,59,"29,872,570","3,723","13,106,623","1,569",범죄,15세이상관람가,일반영화
710,태용: 티와이 트랙 인 시네마,오윤동,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2024-09-25,개봉영화,장편,한국,76,"85,741,400","3,628","47,858,400","2,079",공연,전체관람가,일반영화
711,나 혼자만 레벨업 : 프리뷰,,,,(주)애니플러스,2023-12-13,개봉영화,장편,일본,62,"46,484,600","3,622","21,016,200","1,523",애니메이션,청소년관람불가,일반영화
712,특별편집판 기동전사 건담 철혈의 오펀스 우르드 헌트 -작은 도전자의 궤적-,나가이 타츠유키,,주식회사 케이티스튜디오지니,(주)디스테이션,2026-04-04,개봉영화,장편,일본,121,"36,296,750","3,547","11,870,650","1,148",애니메이션,12세이상관람가,일반영화
713,키타로 탄생 게게게의 수수께끼: 트루 에디션,,,(주)엔케이컨텐츠,(주)디스테이션,2024-10-19,개봉영화,장편,일본,38,"35,277,500","3,506","17,011,200","1,656",애니메이션,15세이상관람가,일반영화
714,식사이론,,"주식회사 알바트로스픽처스,데저트블룸픽처스 주식회사",,롯데컬처웍스(주)롯데시네마,2025-08-20,개봉영화,장편,한국,75,"13,950,000","3,486","8,318,000","2,078",코미디,12세이상관람가,일반영화
715,2021 방탄소년단 머스터 소우주 리마스터링,,,,메가박스중앙(주),2025-09-23,개봉영화,장편,한국,1,"81,328,560","3,404","52,827,000","2,202",공연,전체관람가,일반영화
716,엘스타 2 : 드리미 스테이지,,(주)넥슨코리아,,씨제이 씨지브이(CJ CGV)(주),2024-11-30,개봉영화,장편,한국,15,"50,984,500","3,399","30,044,500","2,003",애니메이션,전체관람가,일반영화
717,비욘드 라이브 더 무비 - 태민 : 엔.지.디.에이,,,,씨제이 씨지브이(CJ CGV)(주),2023-11-29,개봉영화,장편,한국,30,"55,026,000","3,335","36,299,000","2,200",공연,전체관람가,일반영화
718,피스 바이 피스,모건 네빌,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-01-08,개봉영화,장편,미국,67,"28,467,200","3,301","12,308,400","1,417",애니메이션,전체관람가,일반영화
719,위드 러브,조나단 유세비오,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-05-14,개봉영화,장편,미국,47,"23,398,160","3,255","9,767,700","1,362",액션,청소년관람불가,일반영화
720,새비지 맨,,,주식회사 디에스이이디,주식회사 디에스이이디,2023-01-26,개봉영화,장편,미국,50,"25,868,492","3,227","10,366,498","1,289",액션,청소년관람불가,일반영화
721,아이돌리쉬 세븐 퍼스트 비트! 극장총집편 후편,벳쇼 마코토,,메가박스중앙(주),"메가박스중앙(주),㈜T-JOY",2025-12-12,개봉영화,장편,일본,38,"29,969,220","3,197","14,086,080","1,455",애니메이션,전체관람가,일반영화
722,언더닌자,후쿠다 유이치,,메가박스중앙(주),"메가박스중앙(주),㈜T-JOY",2026-02-05,개봉영화,장편,일본,65,"16,195,620","3,191","6,081,670","1,131",드라마,15세이상관람가,일반영화
723,리마인더스 오브 힘,바네사 캐스윌,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2026-05-27,개봉영화,장편,미국,24,"22,776,400","3,187","10,186,500","1,427",드라마,12세이상관람가,일반영화
724,본 투 플라이,류효세,,(주)빅웨이브시네마,와이드 릴리즈(주),2023-11-22,개봉영화,장편,중국,72,"25,243,466","3,183","7,597,628",805,액션,12세이상관람가,일반영화
725,원 웨이,앤드류 베어드,,주식회사 블루필름웍스,주식회사 블루필름웍스,2023-02-09,개봉영화,장편,미국,50,"25,478,197","3,176","10,833,198","1,348",액션,15세이상관람가,일반영화
726,엔하이픈 월드 투어 '페이트',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),2025-07-10,개봉영화,장편,한국,37,"62,400,000","3,120","27,540,000","1,377",공연,전체관람가,일반영화
727,방탄소년단 '맵 오브 더 소울 : 원',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),2025-07-10,개봉영화,장편,한국,53,"62,179,000","3,109","26,960,000","1,348",공연,전체관람가,일반영화
728,귀멸의 칼날: 도공 마을 적습편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-07-25,개봉영화,장편,일본,100,"31,499,300","3,060","8,021,800",759,애니메이션,15세이상관람가,일반영화
729,울프 하운드,마이클 B. 체이트,,주식회사 풍경소리,주식회사 풍경소리,2023-02-09,개봉영화,장편,미국,50,"24,209,397","3,043","9,793,800","1,235",액션,15세이상관람가,일반영화
730,귀멸의 칼날: 환락의 거리 잠입편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-07-18,개봉영화,장편,일본,106,"30,743,500","3,038","6,614,400",648,애니메이션,15세이상관람가,일반영화
731,귀멸의 칼날: 합동 강화 훈련 주집결편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-08-01,개봉영화,장편,일본,92,"32,379,200","3,036","9,125,900",825,애니메이션,15세이상관람가,일반영화
732,차은우 브이알 콘서트 : 메모리즈 (CHA EUN-WOO VR CONCERT : MEMORIES ),김지애,(주)어메이즈브이알코리아,,(주)어메이즈브이알코리아,2025-06-18,개봉영화,장편,한국,2,"95,449,000","3,004","95,449,000","3,004",공연,전체관람가,일반영화
733,투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',,(주)하이브,,씨제이 씨지브이(CJ CGV)(주),2025-07-10,개봉영화,장편,한국,37,"59,600,000","2,980","22,880,000","1,144",공연,전체관람가,일반영화
734,쏜애플 불구경 2022 라이브 콘서트 필름,금강산,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2023-03-08,개봉영화,장편,한국,10,"58,910,900","2,957","40,871,200","2,053",공연,전체관람가,일반영화
735,르네상스 필름 바이 비욘세,,,,씨제이포디플렉스 주식회사,2023-12-21,개봉영화,장편,미국,19,"72,770,500","2,911","52,121,500","2,085",공연,15세이상관람가,일반영화
736,빌리 아일리시 - 히트 미 하드 앤드 소프트: 더 투어,"제임스 카메론,빌리 아일리시",파라마운트 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2026-05-06,개봉영화,장편,미국,65,"72,756,000","2,911","42,724,500","1,709",공연,12세이상관람가,일반영화
737,기동전사 건담 F91,토미노 요시유키,,(주)에스피오 엔터테인먼트코리아,(주)미디어캐슬,2025-05-07,개봉영화,장편,일본,41,"30,194,900","2,886","15,502,400","1,477",애니메이션,12세이상관람가,일반영화
738,어프렌티스,알리 아바시,,(주)누리픽쳐스,(주)누리픽쳐스,2024-10-23,개봉영화,장편,캐나다,67,"27,562,500","2,849","18,277,200","1,886",드라마,청소년관람불가,일반영화
739,스크림 7,케빈 윌리엄슨,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2026-04-01,개봉영화,장편,미국,105,"31,917,350","2,804","13,427,100","1,145",공포(호러),청소년관람불가,일반영화
740,더 초즌: 선택받은 자,,,롯데컬처웍스(주)롯데시네마,롯데컬처웍스(주)롯데시네마,2024-05-18,개봉영화,장편,미국,53,"22,146,100","2,710","9,934,300","1,201",드라마,12세이상관람가,일반영화
741,썸머 블루 아워,,,(주)누리픽쳐스,(주)누리픽쳐스,2025-09-17,개봉영화,장편,대만,67,"33,115,300","2,686","24,832,900","1,873",멜로/로맨스,12세이상관람가,일반영화
742,이머시브 시네마: 뽀로로 극장판 스위트캐슬 대모험,천유림,(주)오콘,,롯데컬처웍스(주)롯데엔터테인먼트,2025-12-13,개봉영화,장편,한국,1,"44,992,000","2,679","44,992,000","2,679",애니메이션,전체관람가,일반영화
743,하우스 오브 다이너마이트,캐서린 비글로우,,,씨제이 씨지브이(CJ CGV)(주),2025-10-08,개봉영화,장편,미국,32,"25,763,750","2,605","16,312,450","1,620",스릴러,12세이상관람가,일반영화
744,남으로 가는 길,김상래,(주)코탑미디어,,THE 픽쳐스,2025-04-02,개봉영화,장편,한국,40,"25,563,200","2,583","13,611,800","1,366",드라마,15세이상관람가,일반영화
745,극장판 뿌이뿌이 모루카 MOLMAX (모루맥스),만큐,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,2026-01-07,개봉영화,장편,일본,15,"32,082,000","2,566","21,257,800","1,628",애니메이션,전체관람가,일반영화
746,우주 수호대: 하하하 행성의 대모험,,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2026-03-13,개봉영화,장편,중국,102,"17,613,500","2,547","4,342,800",705,애니메이션,전체관람가,일반영화
747,부활 그 소망,김상철,파이오니아21,,파이오니아21,2024-03-07,개봉영화,장편,한국,26,"27,648,600","2,521","6,636,000",626,다큐멘터리,전체관람가,일반영화
748,더 테러 라이브 : 라스트 쇼,와타나베 카즈타카,,,롯데컬처웍스(주)롯데엔터테인먼트,2025-04-16,개봉영화,장편,일본,38,"14,779,400","2,516","7,522,100","1,285",범죄,12세이상관람가,일반영화
749,미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,토요시마 케이스케,,리벳,리벳,2026-05-27,개봉영화,장편,일본,22,"63,632,000","2,507","31,932,000","1,239",다큐멘터리,전체관람가,일반영화
750,더 엑소시즘,,,(주)누리픽쳐스,(주)누리픽쳐스,2025-01-15,개봉영화,장편,미국,117,"25,128,800","2,484","5,029,200",469,공포(호러),15세이상관람가,일반영화
751,극장판 주술회전 0,박성후,,대원미디어(주),"(주)바이포엠스튜디오,(주)대교 미디어콘텐츠사업본부",2022-02-17,개봉영화,장편,일본,836,"25,514,606","2,466","23,846,814","2,256",애니메이션,15세이상관람가,일반영화
752,노크: 더 하우스,사무엘 보딘,,(주)누리픽쳐스,(주)누리픽쳐스,2023-09-20,개봉영화,장편,미국,92,"22,589,750","2,437","6,250,600",694,공포(호러),15세이상관람가,일반영화
753,마마무: 마이콘 더 무비,임재경,드림엔진스튜디오 주식회사,,(주)위즈온센,2023-06-21,개봉영화,장편,한국,21,"48,225,500","2,412","27,647,000","1,383",공연,전체관람가,일반영화
754,김범수 25주년 콘서트 필름 : 여행,,,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2024-12-11,개봉영화,장편,한국,44,"39,205,800","2,269","28,882,800","1,730",공연,전체관람가,일반영화
755,전장의 유산,김채영,컬츠인큐티에프,,컬츠인큐티에프,2025-05-21,개봉영화,장편,한국,16,"25,392,400","2,263","15,665,600","1,374",다큐멘터리,12세이상관람가,일반영화
756,마크로스 플러스 -무비 에디션-,카와모리 쇼지,,미라지엔터테인먼트,(주)라이크콘텐츠,2023-11-29,개봉영화,장편,일본,43,"20,993,782","2,219","11,466,104","1,173",애니메이션,15세이상관람가,일반영화
757,요루시카 '달과 고양이의 댄스' 2024 라이브,,,,씨제이 씨지브이(CJ CGV)(주),2024-11-29,개봉영화,장편,일본,3,"108,339,000","2,211","89,376,000","1,824",공연,전체관람가,일반영화
758,스즈메의 문단속-하이라이트 필름콘서트,,"씨제이포디플렉스 주식회사,(주)미디어캐슬",,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)",2025-03-26,개봉영화,장편,한국,28,"24,873,000","2,122","12,182,000","1,041",애니메이션,12세이상관람가,일반영화
759,7인의 황후,신철승,(주)오알지 엔터테인먼트,,(주)드림팩트엔터테인먼트,2025-02-26,개봉영화,장편,한국,5,"20,527,500","2,122","11,371,500","1,203",코미디,15세이상관람가,일반영화
760,망국전쟁 : 뉴라이트의 시작,구진형,,,주식회사 한류역사문화티브이,2025-07-23,개봉영화,장편,한국,28,"19,215,700","2,119","12,820,300","1,325",다큐멘터리,12세이상관람가,일반영화
761,10일간의 애인,,"(주)로드하우스,꿀잼컴퍼니(주)",,(주)그노스,2023-01-12,개봉영화,장편,한국,50,"21,160,996","2,118","10,240,997","1,025",멜로/로맨스,청소년관람불가,일반영화
762,베팅 위드 고스트: 보석 사냥꾼,,,(주)시그널픽쳐스,"(주)디스테이션,주식회사 케이무비엔터테인먼트",2025-10-17,개봉영화,장편,베트남,14,"23,042,940","2,116","8,464,300",756,드라마,15세이상관람가,일반영화
763,강남좀비,이수성,㈜리필름,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023-01-05,개봉영화,장편,한국,51,"21,235,695","2,098","10,516,298","1,085",드라마,15세이상관람가,일반영화
764,류이치 사카모토: 플레잉 디 오케스트라 2014,,,리벳,리벳,2025-04-09,개봉영화,장편,일본,56,"52,185,000","2,092","31,025,000","1,243",공연,전체관람가,일반영화
765,박하경 여행기,이종필,더램프스튜디오(주),,씨제이 씨지브이(CJ CGV)(주),2023-06-07,개봉영화,장편,한국,34,"21,235,800","2,084","10,589,200","1,029",드라마,전체관람가,일반영화
766,울브스 오브 워,자일스 앨더슨,,(주)누리픽쳐스,(주)누리픽쳐스,2023-01-26,개봉영화,장편,영국,50,"20,215,900","2,025","9,598,000",961,액션,15세이상관람가,일반영화
767,연극 빵야,,,,씨제이 씨지브이(CJ CGV)(주),2025-03-26,개봉영화,장편,한국,11,"39,818,000","1,991","28,459,000","1,423",공연,12세이상관람가,일반영화
768,에이티즈 에이 투 지 온 스크린,,,,씨지브이 아이스콘,2025-10-23,개봉영화,장편,한국,12,"19,530,000","1,953","14,060,000","1,406",공연,전체관람가,일반영화
769,아이돌리쉬 세븐 퍼스트 비트! 극장총집편 전편,벳쇼 마코토,,메가박스중앙(주),메가박스중앙(주),2025-10-31,개봉영화,장편,일본,86,"18,780,840","1,945","9,832,200","1,004",애니메이션,전체관람가,일반영화
770,피로 지켜낸 대한민국,"금기백,애진아",㈜영화사 아리랑,,주식회사 킨스튜디오,2025-10-16,개봉영화,장편,한국,20,"14,549,600","1,939","2,227,000",228,다큐멘터리,15세이상관람가,일반영화
771,극장판 여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다...,이노우에 케이스케,,(주)애니플러스,(주)애니플러스,2024-04-04,개봉영화,장편,일본,43,"17,751,148","1,914","7,947,102",802,애니메이션,전체관람가,일반영화
772,마법 숲 동물 친구들 대모험,,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2026-04-01,개봉영화,장편,아랍에미리트연합국정부,87,"17,495,200","1,889","3,177,400",330,애니메이션,전체관람가,일반영화
