영화명,영화명_영어,장르,개봉일,극장관객수,극장매출,Netflix,최고순위,TOP10유지일수,1위유지일수
로비,Lobby,드라마,2025-04-02,"257,760","2,426,172,740",True,6,7,0
크리에이터,The Creator,SF,2023-10-03,"256,803","2,710,714,272",True,4,14,0
옥수역귀신,The Ghost Station,공포(호러),2023-04-19,"256,196","2,741,672,100",True,3,14,0
하트맨,Heartman: Rock and Love,코미디,2026-01-14,"247,887","2,305,660,270",True,2,14,0
데드맨,Dead Man,범죄,2024-02-07,"236,661","2,257,546,704",False,0,0,0
소울메이트,Soulmate,드라마,2023-03-15,"231,257","2,236,460,069",False,0,0,0
나폴레옹,Napoleon,전쟁,2023-12-06,"227,354","2,250,902,673",False,0,0,0
베니스 유령 살인사건,A Haunting in Venice,범죄,2023-09-13,"205,102","2,004,013,347",False,0,0,0
사흘,Devils Stay,공포(호러),2024-11-14,"200,490","1,878,697,640",True,2,14,0
브로큰,Nocturnal,범죄,2025-02-05,"196,833","1,821,830,700",True,1,91,28
멍뭉이,My Heart Puppy,드라마,2023-03-01,"194,391","1,812,783,386",True,6,7,0
킬링 로맨스,Killing Romance,코미디,2023-04-14,"191,542","1,832,316,642",False,0,0,0
백설공주,Snow White,판타지,2025-03-19,"190,530","1,786,010,770",False,0,0,0
더 폴: 디렉터스 컷,The Fall,드라마,2024-12-25,"188,441","1,945,862,300",False,0,0,0
브레드이발소: 셀럽 인 베이커리타운,Bread Barbershop: Celeb in Bakery Town,애니메이션,2024-03-01,"183,479","1,556,568,690",True,7,21,0
오멘: 저주의 시작,The First Omen,공포(호러),2024-04-03,"180,448","1,857,073,182",False,0,0,0
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,Pokémon: Lucario and the Mystery of Mew,애니메이션,2025-01-22,"180,261","1,593,814,180",False,0,0,0
트론: 아레스,TRON: Ares,SF,2025-10-08,"172,267","1,899,878,820",False,0,0,0
동화지만 청불입니다,Forbidden Fairytale,코미디,2025-01-08,"168,500","1,564,238,340",True,4,14,0
플라워 킬링 문,Killers of the Flower Moon,범죄,2023-10-19,"166,226","1,573,261,909",False,0,0,0
마루이 비디오,Marui Video,미스터리,2023-02-22,"165,822","1,704,980,000",True,7,14,0
"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,멜로/로맨스,2025-02-21,"164,767","1,469,638,000",True,7,7,0
"포켓몬스터: 성도지방 이야기, 최종장",Pokémon: Stories from the Johto Region - The Final Chapter,애니메이션,2024-05-01,"157,303","1,385,194,057",False,0,0,0
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,Butt Detective the Movie: Shiriarty,애니메이션,2023-09-28,"141,025","1,278,771,994",False,0,0,0
프로젝트 Y,Project Y,범죄,2026-01-21,"140,808","1,374,381,060",True,1,21,14
아가일,Argylle,액션,2024-02-07,"138,902","1,422,200,957",False,0,0,0
극장판 슈퍼윙스: 맥시멈 스피드,Super Wings: Maximum Speed,애니메이션,2023-07-20,"135,976","1,192,070,958",False,0,0,0
보호자,A Man of Reason,액션,2023-08-15,"128,133","1,235,354,700",True,1,21,7
패스트 라이브즈,Past Lives,드라마,2024-03-06,"123,671","1,152,005,399",False,0,0,0
필사의 추격,The Desperate Chase,코미디,2024-08-21,"121,335","1,055,865,807",True,4,14,0
말하고 싶은 비밀,Our Secret Diary,멜로/로맨스,2023-12-13,"118,928","1,121,475,015",False,0,0,0
에브리씽 에브리웨어 올 앳 원스+,Everything Everywhere All at Once,액션,2023-03-01,"109,217","1,119,440,084",True,10,7,0
캐리와 슈퍼콜라,Carrie & Superkola,애니메이션,2023-01-18,"108,487","1,004,792,719",False,0,0,0
에어,Air,드라마,2023-04-05,"108,405","1,045,708,581",False,0,0,0
올빼미,The Night Owl,스릴러,2022-11-23,"106,780","1,091,352,574",True,5,21,0
괴기열차,Ghost Train,공포(호러),2025-07-09,"105,618","980,057,850",False,0,0,0
스트리밍,Streaming,스릴러,2025-03-21,"104,505","1,010,579,120",True,2,35,0
