영화명,영화명_영어,장르,개봉일,극장관객수,극장매출,Netflix,최고순위,TOP10유지일수,1위유지일수
프로텍터,Protector,액션,2026-03-25,"25,085","209,139,810",False,0,0,0
스트레이 키즈 : 더 도미네이트 익스피리언스,Stray Kids: The dominATE Experience,공연,2026-02-04,"25,022","640,848,000",False,0,0,0
백설공주와 일곱난쟁이,Snow White,애니메이션,2025-04-10,"24,954","211,873,220",False,0,0,0
플로라 앤 썬,Flora and Son,드라마,2023-09-22,"24,613","182,027,800",False,0,0,0
천룡팔부: 교봉전,Sakra,액션,2023-01-25,"24,394","211,184,266",True,7,14,0
엄마를 버리러 갑니다,Leaving Mom,드라마,2025-11-05,"23,666","211,130,600",False,0,0,0
영화 코바야시네 메이드래곤 외로움쟁이 용,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,애니메이션,2025-07-10,"23,479","223,856,000",False,0,0,0
극장판 뽀로로와 친구들: 바이러스를 없애줘!,Pororo and Friends: Virus Busters,애니메이션,2022-12-01,"23,359","211,318,100",True,9,7,0
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,The Snow Queen and the Princess,애니메이션,2022-12-22,"23,331","207,161,172",False,0,0,0
무명,Hidden Blade,스릴러,2023-04-26,"22,443","203,825,737",False,0,0,0
정글비트 2,Jungle Beat 2: The Past,애니메이션,2026-01-29,"22,308","173,461,020",False,0,0,0
기동전사 건담 역습의 샤아,Mobile Suit Gundam: Char's Counterattack,애니메이션,2025-05-07,"22,173","213,334,900",False,0,0,0
스트리머,Streamer,공포(호러),2023-05-10,"22,111","198,703,100",False,0,0,0
너는 내 아들,His Only Son,드라마,2023-06-28,"21,989","192,632,908",False,0,0,0
DMZ 동물 특공대,DMZ Animal Rangers,애니메이션,2024-02-14,"21,830","161,867,520",False,0,0,0
카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,애니메이션,2023-04-06,"21,564","240,958,900",False,0,0,0
그리고 목련이 필때면,And When the Magnolia Bloom,다큐멘터리,2024-08-15,"21,062","184,197,900",False,0,0,0
드림쏭2,Rock Dog 2: Rock Around the Park,애니메이션,2023-10-03,"21,025","181,644,014",False,0,0,0
워킹맨,A Working Man,액션,2025-10-01,"20,986","161,947,100",False,0,0,0
태양의 노래,Midnight Sun,드라마,2025-06-11,"20,973","183,826,100",True,7,14,0
빈틈없는 사이,My Worst Neighbor,멜로/로맨스,2023-07-05,"20,926","191,595,710",True,2,14,0
극장판 실바니안 패밀리: 프레야의 선물,Sylvanian Families: The Movie,애니메이션,2024-05-01,"20,828","166,577,210",False,0,0,0
스노우 퍼핀즈,Johnny Puff: Secret Mission,애니메이션,2024-02-15,"20,768","172,177,063",False,0,0,0
빼꼼: 미션 투 마스,Backkom Bear 3: Mars Mission,애니메이션,2024-06-01,"20,620","152,529,750",False,0,0,0
스노우 폭스 : 마법의 돌을 찾아서,The Puffins: In Search of the Arctic Idol,애니메이션,2026-01-10,"20,481","135,877,700",False,0,0,0
세븐틴 [라잇 히어] 월드 투어 인 시네마,SEVENTEEN [RIGHT HERE] WORLD TOUR IN CINEMAS,공연,2025-04-02,"20,340","545,169,500",False,0,0,0
극장판 총집편 걸즈 밴드 크라이 청춘광주곡,GIRLS BAND CRY The Movie: Youth Rhapsody,애니메이션,2026-01-28,"20,191","198,801,900",False,0,0,0
크라임 101,Crime 101,범죄,2026-04-08,"20,138","144,135,910",False,0,0,0
주차금지,No Parking,스릴러,2025-05-21,"19,970","149,176,450",False,0,0,0
극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,애니메이션,2023-02-02,"19,711","202,097,717",False,0,0,0
타로,Tarot,공포(호러),2024-06-14,"19,529","179,752,600",True,2,35,0
만천과해,The Invisible Guest,범죄,2024-07-03,"19,231","148,549,800",False,0,0,0
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,Rascal Does Not Dream of a Knapsack Kid,애니메이션,2024-02-01,"19,156","180,312,331",False,0,0,0
더 로즈: 완벽한 이혼,The Roses,코미디,2025-09-17,"18,670","174,564,720",False,0,0,0
나는 여기에 있다,I Am Here,범죄,2023-04-12,"18,504","143,076,700",False,0,0,0
아기돼지 3형제: 도넛별 대모험,三只小猪3正义大联萌,애니메이션,2025-09-04,"18,117","149,603,460",False,0,0,0
코드: G 주목의 시작,CODE : G,SF,2025-12-27,"17,880","97,079,200",False,0,0,0
드라이브 인 타이페이,Weekend in Taipei,액션,2025-04-11,"17,763","157,433,800",False,0,0,0
프랑켄슈타인,Frankenstein,SF,2025-10-22,"17,456","167,283,310",True,1,35,14
더 크로우,The Crow,액션,2024-12-11,"17,088","140,970,300",False,0,0,0
영원,Eternity,멜로/로맨스,2026-02-04,"16,942","156,489,400",False,0,0,0
